epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,145.952,1.51477,2.04953,1.23091,0.80789,0.47639,0.51486,0.25552,2.00113,2.26471,1.31869,0.00066343,0.00066343,0.00066343
2,265.208,1.57163,1.13137,1.23086,0.76958,0.48392,0.52587,0.26198,1.93409,2.00301,1.17928,0.00130376,0.00130376,0.00130376
3,384.533,1.56673,1.11986,1.21752,0.82277,0.51157,0.5573,0.31085,1.86964,1.66803,1.186,0.00191769,0.00191769,0.00191769
4,503.283,1.55038,1.08408,1.22954,0.87306,0.54605,0.63934,0.36012,1.6876,1.02555,1.12922,0.0018812,0.0018812,0.0018812
5,622.59,1.49506,0.99853,1.19823,0.81345,0.55852,0.61728,0.27446,2.05136,1.22413,1.19456,0.0018416,0.0018416,0.0018416
6,740.449,1.45414,0.95532,1.17123,0.7438,0.59343,0.65149,0.34863,1.76422,1.07431,1.11781,0.001802,0.001802,0.001802
7,858.243,1.42836,0.90583,1.15251,0.82697,0.61175,0.65924,0.34081,1.72173,0.97754,1.09064,0.0017624,0.0017624,0.0017624
8,976.353,1.4102,0.88372,1.14403,0.83883,0.62834,0.69665,0.33912,1.83068,0.98047,1.10361,0.0017228,0.0017228,0.0017228
9,1094.61,1.4079,0.87774,1.14174,0.8286,0.62012,0.68864,0.35631,1.80289,0.97818,1.11923,0.0016832,0.0016832,0.0016832
10,1212.89,1.3713,0.84041,1.12401,0.84213,0.6345,0.71751,0.39273,1.6092,0.87219,1.04302,0.0016436,0.0016436,0.0016436
11,1331.27,1.33741,0.80249,1.11279,0.849,0.66962,0.74006,0.38673,1.69317,0.85099,1.07051,0.001604,0.001604,0.001604
12,1449.86,1.32603,0.78726,1.11021,0.85518,0.64613,0.72997,0.38833,1.62387,0.83602,1.03811,0.0015644,0.0015644,0.0015644
13,1568.41,1.32817,0.78842,1.09717,0.8272,0.63381,0.72309,0.41473,1.47738,0.87172,1.00684,0.0015248,0.0015248,0.0015248
14,1686.96,1.30724,0.77878,1.08399,0.83755,0.67401,0.74693,0.41558,1.60457,0.7892,1.02713,0.0014852,0.0014852,0.0014852
15,1805.16,1.29603,0.76889,1.0872,0.84089,0.68036,0.75488,0.39027,1.71303,0.7777,1.04882,0.0014456,0.0014456,0.0014456
16,1923.5,1.2836,0.75193,1.07396,0.8615,0.69541,0.7699,0.44579,1.47912,0.76484,1.00882,0.001406,0.001406,0.001406
17,2042.75,1.28719,0.73067,1.07654,0.88157,0.67146,0.76959,0.44068,1.54941,0.73116,1.0072,0.0013664,0.0013664,0.0013664
18,2161.21,1.27197,0.7276,1.08605,0.87148,0.72405,0.79231,0.42346,1.59391,0.74309,1.02883,0.0013268,0.0013268,0.0013268
19,2279.4,1.25004,0.71067,1.05845,0.85661,0.71151,0.76827,0.43374,1.52886,0.72792,1.00307,0.0012872,0.0012872,0.0012872
20,2397.55,1.24033,0.70827,1.06078,0.87529,0.71184,0.79422,0.4395,1.50185,0.70693,0.98924,0.0012476,0.0012476,0.0012476
21,2515.84,1.21817,0.67865,1.04969,0.857,0.70554,0.78305,0.43577,1.5169,0.70145,0.99517,0.001208,0.001208,0.001208
22,2634.18,1.22548,0.67786,1.05758,0.86886,0.7165,0.79977,0.44148,1.48807,0.68978,0.99637,0.0011684,0.0011684,0.0011684
