epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,215.751,0.80395,0.40309,1.02049,0.9322,0.81027,0.88062,0.60884,1.01112,0.46927,0.97557,0.00099768,0.00099768,0.00099768
2,449.388,0.87374,0.45399,1.05099,0.93337,0.77865,0.85134,0.58814,1.05071,0.50887,0.99418,0.00193176,0.00193176,0.00193176
3,663.006,0.90249,0.48059,1.07046,0.92597,0.78342,0.85967,0.58274,1.07572,0.51644,1.0044,0.001868,0.001868,0.001868
4,859.835,0.89919,0.48581,1.06191,0.92068,0.77859,0.85216,0.58276,1.04299,0.50763,0.98662,0.001802,0.001802,0.001802
5,1052.66,0.89193,0.47676,1.06253,0.92088,0.79588,0.86271,0.59209,1.03898,0.50201,0.98777,0.001736,0.001736,0.001736
6,1245.78,0.89351,0.47198,1.06503,0.92012,0.79444,0.85891,0.5753,1.07429,0.52424,0.99532,0.00167,0.00167,0.00167
7,1472.45,0.87549,0.46293,1.05704,0.92315,0.78678,0.8646,0.58365,1.04042,0.50485,0.99859,0.001604,0.001604,0.001604
8,1678.21,0.87703,0.45905,1.05732,0.92395,0.80338,0.86362,0.58513,1.05838,0.51728,0.9901,0.001538,0.001538,0.001538
9,1881.29,0.86948,0.45454,1.05242,0.91907,0.79441,0.86267,0.58955,1.02845,0.49525,0.97999,0.001472,0.001472,0.001472
10,2084.75,0.85542,0.44795,1.0451,0.92059,0.81657,0.87308,0.60086,1.01095,0.48793,0.97821,0.001406,0.001406,0.001406
11,2285.65,0.84827,0.44174,1.04193,0.93776,0.79971,0.87226,0.59307,1.02991,0.46928,0.97394,0.00134,0.00134,0.00134
12,2487.23,0.84996,0.43916,1.03988,0.93294,0.80657,0.87459,0.59812,1.03507,0.46901,0.97578,0.001274,0.001274,0.001274
13,2685.39,0.83273,0.43014,1.04234,0.94034,0.80057,0.87663,0.60612,1.01383,0.46711,0.96776,0.001208,0.001208,0.001208
14,2898.2,0.84096,0.42767,1.03708,0.92983,0.80402,0.87864,0.60425,1.00245,0.45993,0.97496,0.001142,0.001142,0.001142
15,3138.4,0.83039,0.41899,1.03325,0.92463,0.81116,0.87516,0.60066,1.0266,0.46949,0.97832,0.001076,0.001076,0.001076
16,3385.74,0.82195,0.41629,1.03014,0.93226,0.81169,0.88198,0.60525,1.00857,0.4629,0.97281,0.00101,0.00101,0.00101
